"<a href=""https://en.wikipedia.org/wiki/Abyssal_plain"" title=""Abyssal plain"">abyssal plain</a>"|"
<dd class=""glossary"">Flat or very gently sloping areas of the deep ocean basin floor.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Molasse"" title=""Molasse"">molasse</a>"|"
<dd class=""glossary"">A partly marine, partly continental or deltaic sedimentary <a href=""#facies""><span title=""See entry on this page at § facies"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">facies</span></a> consisting of a very thick sequence of soft ungraded <a href=""#cross-bedding""><span title=""See entry on this page at § cross-bedding"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">cross-bedded</span></a> <a href=""#fossiliferous""><span title=""See entry on this page at § fossiliferous"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">fossiliferous</span></a> <a href=""#conglomerate""><span title=""See entry on this page at § conglomerate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">conglomerates</span></a>, <a href=""#sandstone""><span title=""See entry on this page at § sandstone"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sandstones</span></a>, <a href=""#shale""><span title=""See entry on this page at § shale"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">shales</span></a>, and <a href=""#marl""><span title=""See entry on this page at § marl"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">marls</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Molding_(process)"" title=""Molding (process)"">molding</a>"|"
<dd class=""glossary"">The process of manufacturing by shaping pliable raw material using a rigid frame or model called a mold.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Monocline"" title=""Monocline"">monocline</a>"|"
<dd class=""glossary"">A fold with a single limb which produces a sudden steepening of the dip; the rocks, however, soon approximate to horizontal on either side of this flexure.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Monoclinic"" class=""mw-redirect"" title=""Monoclinic"">monoclinic</a>"|"
<dd class=""glossary"">Having three crystal axes of unequal lengths, with one intersection oblique and the other two perpendicular.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Moraine"" title=""Moraine"">moraine</a>"|"
<dd class=""glossary"">A glacially formed accumulation of unconsolidated debris which can occur in currently glaciated and formerly glaciated regions, such as those areas acted upon by a past ice age.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Mullion_(geology)"" class=""mw-redirect"" title=""Mullion (geology)"">mullion</a>"|"
<dd class=""glossary"">A particular type of reworked <a href=""#boudin""><span title=""See entry on this page at § boudin"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">boudin</span></a>. The term is likely derived from an <a href=""https://en.wikipedia.org/wiki/Mullion"" title=""Mullion"">architectural structure with the same name</a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Muscovite"" title=""Muscovite"">muscovite</a>"|"
<dd class=""glossary"">The common or white <a href=""#mica""><span title=""See entry on this page at § mica"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">mica</span></a>; for the most part an orthosilicate of <a href=""https://en.wikipedia.org/wiki/Aluminium"" title=""Aluminium"">aluminium</a> and <a href=""https://en.wikipedia.org/wiki/Potassium"" title=""Potassium"">potassium</a> that crystallises in the <a href=""#monoclinic""><span title=""See entry on this page at § monoclinic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">monoclinic</span></a> system.</dd>
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Namibian_age&amp;action=edit&amp;redlink=1"" class=""new"" title=""Namibian age (page does not exist)"">Namibian age</a>"|"
<dd class=""glossary"">900 to 542 Ma (Neoproterozoic).</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Neogene"" title=""Neogene"">Neogene</a>"|"
<dd class=""glossary"">A geologic <a href=""#period""><span title=""See entry on this page at § period"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">period</span></a> starting 23 million years ago and, depending on definition, either lasting until today or ending 2.6 million years ago with the beginning of the <a href=""#quaternary""><span title=""See entry on this page at § Quaternary"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Quaternary</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Sedimentary_rock#Genetic_classification"" title=""Sedimentary rock"">non-clastic</a>"|"
<dd class=""glossary"">Having the properties of any chemically and/or organically deposited rock, such as <a href=""#limestone""><span title=""See entry on this page at § limestone"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">limestones</span></a>, <a href=""#chalk""><span title=""See entry on this page at § chalk"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">chalks</span></a>, and <a href=""#evaporite""><span title=""See entry on this page at § evaporite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">evaporite</span></a> deposits.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Normal_fault"" class=""mw-redirect"" title=""Normal fault"">normal fault</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also called an <b>extensional fault</b>.</span></p>
<dd class=""glossary"">Dip-slip faults can be sub-classified into the types ""reverse"" and ""normal"". A normal fault occurs when the <a href=""#crust""><span title=""See entry on this page at § crust"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">crust</span></a> is extended such that the hanging wall moves downward relative to the footwall. Contrast <i><a href=""#reverse_fault""><span title=""See entry on this page at § reverse fault"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">reverse fault</span></a></i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Obsidian"" title=""Obsidian"">obsidian</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Oligoclase"" title=""Oligoclase"">oligoclase</a>"|"
<dd class=""glossary"">One of the <a href=""#plagioclase""><span title=""See entry on this page at § plagioclase"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">plagioclase</span></a> feldspars consisting of the albite and anorthite molecules combined in the proportions 9:1 to 7:3. It is found especially in the more acid <a href=""#igneous_rock""><span title=""See entry on this page at § igneous rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">igneous rocks</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Olivine"" title=""Olivine"">olivine</a>"|"
<dd class=""glossary"">An orthosilicate mineral of iron and magnesium which crystallises in the orthorhombic system and occurs widely in the basic and <a href=""#ultramafic""><span title=""See entry on this page at § ultramafic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">ultramafic</span></a> igneous rocks. It includes olivine-gabbro, olivine–dolerite, olivine-basalt, and peridotites, among others.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Ordovician"" title=""Ordovician"">Ordovician</a>"|"
<dd class=""glossary"">A geologic <a href=""#period""><span title=""See entry on this page at § period"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">period</span></a> and system, the second of six of the <a href=""#paleozoic_Era""><span title=""See entry on this page at § Paleozoic Era"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Paleozoic Era</span></a>, spanning the time between 485.4 ± 1.9 to 443.4 ± 1.5 million years ago. It follows the <a href=""#cambrian""><span title=""See entry on this page at § Cambrian"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Cambrian</span></a> and is followed by the <a href=""#silurian""><span title=""See entry on this page at § Silurian"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Silurian</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Orogenesis"" class=""mw-redirect"" title=""Orogenesis"">orogenesis</a>"|"
<dd class=""glossary"">The formation and growth of mountains related to <a href=""#plate_tectonics""><span title=""See entry on this page at § plate tectonics"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">tectonic</span></a> activity.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Orogeny"" title=""Orogeny"">orogeny</a>"|"
<dd class=""glossary"">Any set of forces and events leading to a large structural deformation of the Earth's <a href=""#lithosphere""><span title=""See entry on this page at § lithosphere"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">lithosphere</span></a> due to the engagement of <a href=""#tectonic_plate""><span title=""See entry on this page at § tectonic plate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">tectonic plates</span></a>. It is the primary mechanism by which mountains are built on continents.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Orthoclase"" title=""Orthoclase"">orthoclase</a>"|"
<dd class=""glossary"">A silicate of potassium and aluminium which crystallises in the <a href=""#monoclinic""><span title=""See entry on this page at § monoclinic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">monoclinic</span></a> system and occurs as an essential constituent in granitic and syenitic rocks and as an accessory in many other rock types.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Orthogeosyncline"" class=""mw-redirect"" title=""Orthogeosyncline"">orthogeosyncline</a>"|"
<dd class=""glossary"">A <a href=""#geosyncline""><span title=""See entry on this page at § geosyncline"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">geosyncline</span></a> between continental and oceanic <a href=""#craton""><span title=""See entry on this page at § craton"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">cratons</span></a> containing both volcanic and non-volcanic belts.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Orthorhombic"" class=""mw-redirect"" title=""Orthorhombic"">orthorhombic</a>"|"
<dd class=""glossary"">Having a crystal structure with three perpendicular axes all of different lengths.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Orthosilicate"" title=""Orthosilicate"">orthosilicate</a>"|"
<dd class=""glossary"">An obsolete classification based on salt of hypothetical orthosilicic acid. Compare <i><a href=""#metasilicate""><span title=""See entry on this page at § metasilicate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">metasilicate</span></a></i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Oxbow_lake"" title=""Oxbow lake"">oxbow lake</a>"|"
<dd class=""glossary"">A crescent-shaped lake found within a floodplain or fluvial terrace created by the cut-off and abandonment of an active meander within a river or stream channel.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Pahoehoe"" class=""mw-redirect"" title=""Pahoehoe"">pahoehoe</a>"|"
<dd class=""glossary"">A type of vesicular, basaltic <a href=""#lava""><span title=""See entry on this page at § lava"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">lava</span></a> often with a ropy surface texture.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Palaeozoic"" class=""mw-redirect"" title=""Palaeozoic"">Palaeozoic</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also spelled <b>Paleozoic</b>.</span></p>
<dd class=""glossary"">The earliest of the three geologic <a href=""#era""><span title=""See entry on this page at § era"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">eras</span></a> of the <a href=""#phanerozoic_Eon""><span title=""See entry on this page at § Phanerozoic Eon"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Phanerozoic Eon</span></a>, spanning the time from roughly 541 to 252.2 million years ago. It is the longest of the Phanerozoic eras and is subdivided into six geologic <a href=""#period""><span title=""See entry on this page at § period"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">periods</span></a>: the <a href=""#cambrian""><span title=""See entry on this page at § Cambrian"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Cambrian</span></a>, <a href=""#ordovician""><span title=""See entry on this page at § Ordovician"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Ordovician</span></a>, <a href=""#silurian""><span title=""See entry on this page at § Silurian"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Silurian</span></a>, <a href=""#devonian""><span title=""See entry on this page at § Devonian"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Devonian</span></a>, <a href=""#carboniferous""><span title=""See entry on this page at § Carboniferous"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Carboniferous</span></a>, and <a href=""#permian""><span title=""See entry on this page at § Permian"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Permian</span></a>. The Paleozoic Era follows the <a href=""#neoproterozoic""><span title=""See entry on this page at § Neoproterozoic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Neoproterozoic Era</span></a> of the <a href=""#proterozoic_Eon""><span title=""See entry on this page at § Proterozoic Eon"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Proterozoic Eon</span></a>, and is followed by the <a href=""#mesozoic_Era""><span title=""See entry on this page at § Mesozoic Era"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Mesozoic Era</span></a>.</dd>
"
